"","V1","V2","V3"
"1","mu","2.66 (0.175-9.95)","5.19"
"2","muShort","4.45 (0.0185-9.9)","3.46"
"3","sigma","2.69 (0.177-9.86)","3.54"
"4","sigma2","0.0515 (0.0133-8.72)","4.64"
"5","error","5.95 (0.123-9.74)","6.77"
"6","tau2","5.51 (0.322-9.56)","7.86"
"7","wane","0.716 (0.716-0.716)","0"
"8","sigmadrop","3.06 (0.634-38.9)","3.54"
"9","sigma2drop","0.182 (0.0232-5.46)","4.64"
"10","wane_yr","3.18 (0.0133-7.09)","0"
"11","errorCorrect1","0.0669 (0.0409-1)","6.77"
"12","errorCorrect2","0.199 (0.122-1)","6.77"
