"","V1","V2","V3"
"1","mu","1.85 (1.76-1.97)","93.7"
"2","muShort","2.69 (2.5-2.92)","185"
"3","sigma","0.135 (0.131-0.14)","174"
"4","sigma2","0.0329 (0.0297-0.0361)","186"
"5","error","1.29 (1.27-1.31)","3710"
"6","tau2","0.0441 (0.0395-0.0504)","81.9"
"7","wane","0.994 (0.97-1)","2750"
"8","sigmadrop","0.251 (0.232-0.275)","174"
"9","sigma2drop","0.0883 (0.0763-0.102)","186"
"10","wane_yr","2.67 (2.48-2.9)","2750"
"11","errorCorrect1","0.528 (0.522-0.534)","3710"
"12","errorCorrect2","0.851 (0.845-0.856)","3710"
