"","V1","V2","V3"
"1","mu","0.961 (0.92-0.979)","2.62"
"2","muShort","1.01 (0.992-1.02)","3.47"
"3","sigma","0.21 (0.18-0.226)","2.56"
"4","sigma2","0.341 (0.332-0.37)","2.82"
"5","error","1.25 (1.2-1.29)","1.27"
"6","tau2","0.000965 (0.000198-0.00543)","18.1"
"7","wane","0.857 (0.841-0.869)","1.51"
"8","sigmadrop","0.202 (0.167-0.219)","2.56"
"9","sigma2drop","0.343 (0.335-0.371)","2.82"
"10","wane_yr","0.86 (0.84-0.884)","1.51"
"11","errorCorrect1","0.31 (0.302-0.322)","1.27"
"12","errorCorrect2","0.768 (0.755-0.787)","1.27"
