"","V1","V2","V3"
"1","mu","2.01 (1.94-2.11)","61.6"
"2","muShort","1.93 (1.81-2.07)","112"
"3","sigma","0.31 (0.302-0.319)","252"
"4","sigma2","0.0971 (0.0899-0.104)","93.6"
"5","error","1.01 (0.999-1.03)","1020"
"6","tau2","0.0488 (0.0413-0.0563)","24.6"
"7","wane","0.951 (0.868-0.997)","90.2"
"8","sigmadrop","0.624 (0.591-0.664)","252"
"9","sigma2drop","0.187 (0.167-0.209)","93.6"
"10","wane_yr","1.83 (1.65-2.01)","90.2"
"11","errorCorrect1","0.619 (0.614-0.625)","1020"
"12","errorCorrect2","0.924 (0.92-0.927)","1020"
